FileName,Latitude,Longitude
AU_Dalby.met,-27.18,151.26
AU_Gatton.met,-27.54,152.34
AU_Goondiwindi.met,-28.33,
AU_Ingham.met,-18.65,146.18
AU_Kingaroy.met,-26.5544,151.8456
AU_WaggaWagga.met,-35.0,147.35
BR_Curvelo.met,-18.76,-44.43
KE_Gubatu.met,1.0,39.425
KE_Kapsotik.met,0.075,34.825
KE_Kinyoro.met,-1.025,34.875
KE_Kitui.met,-1.375,37.985
KE_Kone.met,-2.5,39.425
KE_MajiMoto.met,-0.225,36.025
KE_Sabaret.met,4.025,36.675
NZ_Hamilton.met,-37.778,175.325
NZ_Lincoln.met,-43.624,172.466
NZ_Makoka.met,-15.5,35.25
NZ_Seddon.met,-41.63,174.12
PG_Popondetta.met,-8.7667,148.2333
